fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230910 162814	-1	408	203	8	5	5	69605200	1
20230910 163150	-1	401	193	8	5	5	68754000	2
20230910 163545	-1	444	210	9	5	5	68833800	3
20230910 163926	-1	417	186	9	5	5	68910800	4
20230910 164252	-1	446	178	8	5	5	67671800	5
20230910 164628	-1	430	194	8	5	5	68758200	6
20230910 165010	-1	387	181	9	5	5	67380600	7
20230910 165348	-1	437	195	9	5	5	68581800	8
20230910 165709	-1	449	206	8	5	5	69055000	9
20230910 170033	-1	415	178	8	5	5	68096000	10
20230910 170418	-1	400	189	9	5	5	68146400	11
20230910 170802	-1	424	190	9	5	5	68027400	12
20230910 171131	-1	413	202	8	5	5	69641600	13
20230910 171521	-1	442	181	9	5	5	68264000	14
20230910 171845	-1	409	203	8	5	5	69605200	15
20230910 172234	-1	422	203	9	5	5	68749800	16
