fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230905 114539	-0.104317052828264	2782	1093	8	10	5	60992400	1
20230905 115310	-0.746101444332453	5642	624	18	10	5	54486600	2
20230905 115929	-0.136978283638018	5123	2110	17	10	5	53711000	3
20230905 120508	-0.194202966624289	7640	3316	11	10	5	51853200	4
20230905 120847	-0.711700308392756	6979	891	4	10	5	50586900	5
20230905 121431	-0.894814536982449	6431	2990	20	10	5	52489500	6
20230905 121847	0.0372924060036894	4073	182	15	10	5	0	7
20230905 122302	-0.0323395883155171	7369	348	5	10	5	51270800	8
20230905 122923	-0.462058453408827	3954	1914	12	10	5	59147900	9
20230905 123218	-0.369613778378282	3643	1500	3	10	5	53473000	10
20230905 123840	-0.133959195110947	6583	1733	14	10	5	53015900	11
20230905 124415	-0.00694071527437423	7673	2841	13	10	5	51281300	12
20230905 125133	-0.616652702460332	2611	625	10	10	5	65138500	13
20230905 125706	-0.0795666392349327	4506	1553	7	10	5	58167900	14
20230905 130306	-0.955622898135334	7063	2763	11	10	5	51167200	15
20230905 130652	-0.232606745348312	3877	1290	4	10	5	56182700	16
20230905 131352	-0.595214111957511	2154	1076	9	10	5	59950800	17
20230905 132144	-0.885240240271325	2576	606	11	10	5	65167900	18
20230905 132845	-0.788057191522513	931	457	8	10	5	65556400	19
20230905 133613	-0.800023189344374	4665	509	9	10	5	59020500	20
20230905 134514	-0.735481701542318	1251	623	10	10	5	63749000	21
20230905 135304	-0.493563617368757	957	478	7	10	5	66449600	22
20230905 140004	-0.999379121437684	167	83	6	10	5	65717400	23
20230905 140958	-0.999959659118963	619	309	11	10	5	60044600	24
20230905 141544	-0.998359727040226	1017	501	6	10	5	67902100	25
20230905 141853	-0.893688951731559	662	330	3	10	5	56198800	26
20230905 142604	-0.999481364510493	3717	1607	17	10	5	59157700	27
20230905 143230	-0.999904731598464	1205	587	7	10	5	66360700	28
20230905 143854	-0.672149074148126	7996	1642	20	10	5	51257500	29
20230905 144420	-0.665522231413209	1028	514	6	10	5	67936400	30
20230905 145129	-0.999611535509504	7782	956	13	10	5	51145500	31
20230905 145816	-0.319783878871849	7927	1248	11	10	5	51328200	32
20230905 150340	-0.890784327086904	2202	419	6	10	5	69706700	33
20230905 150642	0.0989611376481562	7993	3993	3	10	5	0	34
20230905 151228	-0.515779653693453	2790	521	6	10	5	67965100	35
20230905 152106	-0.999983298525687	1863	837	20	10	5	60015200	36
20230905 152643	-0.998607521353707	2359	1	6	10	5	55424600	37
20230905 153418	-0.999876929678146	5204	1093	20	10	5	56218400	38
20230905 154005	-0.99909997785384	7086	3540	16	10	5	51051000	39
20230905 154406	0.0507933548955671	2386	740	6	10	5	0	40
20230905 154716	-0.912744909566834	2954	1446	3	10	5	53601100	41
20230905 155235	-0.855113414117178	2309	2	6	10	5	62073200	42
20230905 160420	-0.654120896330601	1172	3	15	10	5	60477900	43
20230905 160725	-0.642473654066623	2817	4	3	10	5	54343800	44
20230905 161741	-0.512593324101171	2762	20	12	10	5	62559700	45
20230905 162421	-0.690660693859823	226	113	7	10	5	63282800	46
20230905 163652	-0.890064726233749	1778	843	7	10	5	61959100	48
20230905 164211	-0.890995355522425	3274	9	6	10	5	63955500	49
